source,target
AF,CN
AF,IR
AF,PK
AF,TJ
AF,TM
AF,UZ
AL,GR
AL,XK
AL,ME
AL,MK
AL,RS
DE,AT
DE,BE
DE,CZ
DE,DK
DE,FR
DE,LU
DE,NL
DE,PL
DE,CH
AD,FR
AD,ES
AO,CG
AO,CD
AO,NA
AO,ZM
SA,IQ
SA,JO
SA,KW
SA,OM
SA,QA
SA,AE
SA,YE
DZ,LY
DZ,ML
DZ,MR
DZ,MA
DZ,NE
DZ,TN
DZ,EH
AR,BO
AR,BR
AR,CL
AR,PY
AR,UY
AM,AZ
AM,GE
AM,IR
AM,TR
AT,CZ
AT,DE
AT,HU
AT,IT
AT,LI
AT,SK
AT,SI
AT,CH
AZ,AM
AZ,GE
AZ,IR
AZ,RU
AZ,TR
BD,IN
BD,MM
BZ,GT
BZ,MX
BJ,BF
BJ,NE
BJ,NG
BJ,TG
BY,LV
BY,LT
BY,PL
BY,RU
BY,UA
BO,AR
BO,BR
BO,CL
BO,PY
BO,PE
BA,HR
BA,ME
BA,RS
BW,NA
BW,ZA
BW,ZW
BR,AR
BR,BO
BR,CO
BR,GF
BR,GY
BR,PY
BR,PE
BR,SR
BR,UY
BR,VE
BN,MY
BG,GR
BG,MK
BG,RO
BG,RS
BG,TR
BF,BJ
BF,GH
BF,CI
BF,ML
BF,NE
BF,TG
BI,CD
BI,RW
BI,TZ
BT,CN
BT,IN
BE,FR
BE,DE
BE,LU
BE,NL
KH,LA
KH,TH
KH,VN
CM,CF
CM,TD
CM,CG
CM,GQ
CM,GA
CM,NG
CA,US
TD,CM
TD,CF
TD,LY
TD,NE
TD,NG
TD,SD
CL,AR
CL,BO
CL,PE
CN,AF
CN,BT
CN,IN
CN,KZ
CN,KG
CN,LA
CN,MN
CN,MM
CN,NP
CN,KP
CN,PK
CN,RU
CN,TJ
CN,VN
CO,BR
CO,EC
CO,PA
CO,PE
CO,VE
CG,AO
CG,CM
CG,CF
CG,CD
CG,GA
KP,CN
KP,RU
KP,KR
KR,KP
CR,NI
CR,PA
CI,BF
CI,GH
CI,GN
CI,LR
CI,ML
HR,BA
HR,HU
HR,ME
HR,RS
HR,SI
CU,US
DK,DE
EC,CO
EC,PE
EG,IL
EG,LY
EG,PS
EG,SD
SV,GT
SV,HN
AE,OM
AE,SA
ER,DJ
ER,ET
ER,SD
SK,AT
SK,CZ
SK,HU
SK,PL
SK,UA
SI,AT
SI,HR
SI,HU
SI,IT
ES,AD
ES,FR
ES,GI
ES,MA
ES,PT
US,CA
US,CU
US,MX
EE,LV
EE,RU
ET,DJ
ET,ER
ET,KE
ET,SO
ET,SS
ET,SD
FI,NO
FI,RU
FI,SE
FR,AD
FR,BE
FR,DE
FR,IT
FR,LU
FR,MC
FR,ES
FR,CH
GA,CM
GA,CG
GA,GQ
GM,SN
GE,AM
GE,AZ
GE,RU
GE,TR
GH,BF
GH,CI
GH,TG
GR,AL
GR,BG
GR,MK
GR,TR
GT,BZ
GT,SV
GT,HN
GT,MX
GN,GW
GN,CI
GN,LR
GN,ML
GN,SN
GN,SL
GQ,CM
GQ,GA
GW,GN
GW,SN
GY,BR
GY,SR
GY,VE
HT,DO
NL,BE
NL,DE
HN,SV
HN,GT
HN,NI
HU,AT
HU,HR
HU,RO
HU,RS
HU,SK
HU,SI
HU,UA
IN,BD
IN,BT
IN,CN
IN,MM
IN,NP
IN,PK
ID,MY
ID,PG
ID,TL
IQ,IR
IQ,JO
IQ,KW
IQ,SA
IQ,SY
IQ,TR
IE,GB
IR,AF
IR,AM
IR,AZ
IR,IQ
IR,PK
IR,TR
IR,TM
IL,EG
IL,JO
IL,LB
IL,PS
IL,SY
IT,AT
IT,FR
IT,SM
IT,SI
IT,CH
IT,VA
JO,IQ
JO,IL
JO,PS
JO,SA
JO,SY
KZ,CN
KZ,KG
KZ,RU
KZ,TM
KZ,UZ
KE,ET
KE,SO
KE,SS
KE,TZ
