iso2,neighbours
AF,"['CN', 'IR', 'PK', 'TJ', 'TM', 'UZ']"
AL,"['GR', 'XK', 'ME', 'MK', 'RS']"
DE,"['AT', 'BE', 'CZ', 'DK', 'FR', 'LU', 'NL', 'PL', 'CH']"
AD,"['FR', 'ES']"
AO,"['CG', 'CD', 'NA', 'ZM']"
AI,[]
AG,[]
AQ,[]
SA,"['IQ', 'JO', 'KW', 'OM', 'QA', 'AE', 'YE']"
DZ,"['LY', 'ML', 'MR', 'MA', 'NE', 'TN', 'EH']"
AR,"['BO', 'BR', 'CL', 'PY', 'UY']"
AM,"['AZ', 'GE', 'IR', 'TR']"
AW,[]
AU,[]
AT,"['CZ', 'DE', 'HU', 'IT', 'LI', 'SK', 'SI', 'CH']"
AZ,"['AM', 'GE', 'IR', 'RU', 'TR']"
BS,[]
BH,[]
BD,"['IN', 'MM']"
BB,[]
BZ,"['GT', 'MX']"
BJ,"['BF', 'NE', 'NG', 'TG']"
BM,[]
BY,"['LV', 'LT', 'PL', 'RU', 'UA']"
BO,"['AR', 'BR', 'CL', 'PY', 'PE']"
BQ,[]
BA,"['HR', 'ME', 'RS']"
BW,"['NA', 'ZA', 'ZW']"
BR,"['AR', 'BO', 'CO', 'GF', 'GY', 'PY', 'PE', 'SR', 'UY', 'VE']"
BN,['MY']
BG,"['GR', 'MK', 'RO', 'RS', 'TR']"
BF,"['BJ', 'GH', 'CI', 'ML', 'NE', 'TG']"
BI,"['CD', 'RW', 'TZ']"
BT,"['CN', 'IN']"
BE,"['FR', 'DE', 'LU', 'NL']"
CV,[]
KH,"['LA', 'TH', 'VN']"
CM,"['CF', 'TD', 'CG', 'GQ', 'GA', 'NG']"
CA,['US']
TD,"['CM', 'CF', 'LY', 'NE', 'NG', 'SD']"
CL,"['AR', 'BO', 'PE']"
CN,"['AF', 'BT', 'IN', 'KZ', 'KG', 'LA', 'MN', 'MM', 'NP', 'KP', 'PK', 'RU', 'TJ', 'VN']"
CY,[]
VA,['IT']
CO,"['BR', 'EC', 'PA', 'PE', 'VE']"
KM,[]
