id,e_inc_num
AF,67000
AL,580
DZ,29000
AS,6
AD,1
AO,107000
AI,3
AG,1
AR,12000
AM,1100
AW,9
AU,1700
AT,650
AZ,6500
BS,59
BH,170
BD,364000
BB,0
BY,3500
BE,1100
BZ,130
BJ,6400
BM,2
BT,1100
BO,12000
BQ,1
BA,960
BW,6900
BR,91000
VG,0
BN,270
BG,1800
BF,9500
BI,12000
CV,730
KH,52000
CM,47000
CA,2000
KY,5
CF,20000
TD,23000
CL,3200
CN,889000
HK,5000
MO,440
CO,16000
KM,280
CG,20000
CK,0
CR,470
CI,36000
HR,420
CU,820
CW,10
CY,60
CZ,570
KP,131000
CD,262000
DK,290
DJ,2600
DM,1
DO,4800
EC,7200
EG,13000
SV,4600
GQ,2400
ER,3400
EE,200
SZ,4200
ET,172000
FJ,450
FI,270
FR,5900
PF,60
GA,11000
GM,3700
GE,3400
DE,6200
GH,44000
GR,500
GL,66
GD,3
GU,98
GT,4300
GN,22000
GW,7000
GY,670
HT,20000
HN,3500
HU,750
IS,15
IN,2740000
ID,842000
IR,11000
IQ,16000
IE,350
IL,270
IT,4400
JM,150
JP,19000
JO,660
KZ,12000
KE,158000
KI,480
KW,1100
KG,8700
LA,12000
LV,620
LB,710
LS,15000
LR,15000
LY,2500
LT,1500
LU,37
MG,61000
MW,24000
MY,29000
MV,170
ML,10000
MT,48
MH,250
MR,4300
MU,150
MX,28000
FM,170
MC,0
MN,13000
ME,86
MS,0
MA,36000
MZ,163000
MM,191000
,11000
NR,10
NP,45000
NL,890
NC,39
NZ,350
NI,2800
NE,19000
NG,418000
NU,1
MK,270
MP,45
NO,270
OM,310
PK,525000
PW,23
PA,2200
PG,36000
PY,3000
PE,37000
PH,581000
PL,6400
PT,2000
PR,45
QA,690
KR,36000
MD,3900
RO,14000
RU,86000
RW,7000
KN,1
LC,14
VC,2
WS,34
SM,0
ST,240
SA,3300
SN,19000
RS,1700
SC,18
SL,23000
SG,2700
SX,6
SK,260
SI,130
SB,470
SO,39000
ZA,322000
SS,18000
ES,5000
LK,13000
SD,31000
SR,160
SE,560
CH,610
SY,3400
TJ,7500
TH,108000
TL,6500
TG,3200
TK,0
TO,13
TT,230
TN,3900
TR,14000
TM,2500
TC,2
TV,26
UG,86000
UA,37000
AE,76
GB,5900
TZ,154000
US,10000
UY,1100
UZ,23000
VU,140
VE,13000
VN,124000
WF,0
PS,47
YE,14000
ZM,62000
ZW,37000
